gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6442 & 0.6442 & 0.6442 # batch_size = 16 & lr = 0.00005 & dropout = 0.5 & es-patience=9 & wd=1e-4
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7038 & 0.9710 & 0.0570 # batch_size = 16 & lr = 0.00005 & dropout = 0.5 & es-patience=9 & wd=1e-4 & test=overall
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7566 & 0.9685 & 0.0560 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7566 & 0.7723 & 0.3497 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7276 & 0.9681 & 0.0522 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7566 & 0.9685 & 0.0560 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7566 & 0.9685 & 0.0560 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7317 & 0.9646 & 0.0425
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6012 & 0.5760 & 0.6514 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6874 & 0.9684 & 0.0500 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6258 & 0.5972 & 0.6783 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6687 & 0.6471 & 0.6978 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6874 & 0.9684 & 0.0500 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6984 & 0.7631 & 0.2228 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6800 & 0.7731 & 0.2715 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5898 & 0.5549 & 0.7031 
